id	sn	s1	s2	s3	s4	s5	s6	d	dp2	dp2s	d2	d2s	dp4	dp4s	d4	d4s
30069	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30071	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30073	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30075	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0
30077	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30079	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30081	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
30083	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30085	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30087	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
30089	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30091	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30093	3	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0
30095	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30097	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30099	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30101	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30103	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30105	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
30107	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
30109	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0
30111	3	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0
31001	1	0	1	0	0	0	0	3	3	1	3	1	3	1	3	1
31003	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31005	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31007	0	0	0	0	0	0	0	1	1	1	2	1	1	0	1	1
31009	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31011	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31013	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1
31015	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31017	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31019	1	1	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31021	0	0	0	0	0	0	0	4	4	1	4	1	3	1	4	2
31023	0	0	0	0	0	0	0	3	3	1	4	1	3	1	3	2
31025	0	0	0	0	0	0	0	4	4	1	4	1	3	1	4	2
31027	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31029	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31031	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31033	0	0	0	0	0	0	0	2	2	1	2	1	1	0	1	1
31035	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31037	0	0	0	0	0	0	0	3	3	1	4	1	3	1	3	2
31039	0	0	0	0	0	0	0	3	3	1	4	1	3	1	3	2
31041	0	0	0	0	0	0	0	2	2	1	2	1	2	1	2	1
31043	0	0	0	0	0	0	0	4	3	1	4	1	3	1	3	1
31045	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1
31047	0	0	0	0	0	0	0	2	2	1	2	1	2	1	2	1
31049	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31051	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31053	2	0	1	0	0	0	1	4	4	1	4	1	3	1	4	2
31055	18	2	5	4	1	1	5	4	4	1	4	1	4	1	4	2
31057	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31059	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	2
31061	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31063	1	0	0	0	1	0	0	2	2	1	2	1	2	0	2	1
31065	0	0	0	0	0	0	0	2	3	1	3	1	2	0	2	1
31067	0	0	0	0	0	0	0	4	4	1	4	1	3	1	4	2
31069	0	0	0	0	0	0	0	2	2	1	2	1	1	0	2	1
31071	0	0	0	0	0	0	0	2	2	1	3	1	2	1	2	1
31073	0	0	0	0	0	0	0	2	3	1	3	1	2	1	2	1
31075	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31077	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31079	1	0	0	0	1	0	0	3	3	1	3	1	3	1	3	1
31081	0	0	0	0	0	0	0	3	3	1	3	1	3	1	3	1
31083	0	0	0	0	0	0	0	3	3	1	3	1	2	1	2	1
31085	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31087	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31089	0	0	0	0	0	0	0	2	2	1	2	1	2	1	2	1
31091	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31093	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31095	0	0	0	0	0	0	0	4	4	1	4	1	3	1	4	2
31097	0	0	0	0	0	0	0	4	4	1	4	1	4	1	4	2
31099	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31101	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31103	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31105	0	0	0	0	0	0	0	1	2	1	2	1	1	0	1	1
31107	0	0	0	0	0	0	0	3	3	1	3	1	2	1	3	1
31109	11	1	4	1	1	0	4	4	4	1	4	1	3	1	4	2
31111	1	0	0	0	1	0	0	2	2	1	2	1	2	0	2	1
31113	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31115	0	0	0	0	0	0	0	2	2	1	2	1	2	1	2	1
31117	0	0	0	0	0	0	0	2	2	1	2	1	2	0	2	1
31119	1	0	0	0	1	0	0	3	3	1	3	1	3	1	3	1
